Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Levoglucosan,2724705,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1C2C(C(C(C(O1)O2)O)O)O,C6H10O5,162.14,0,5,3,32.38,79.15,1.27,-2.15,-2.18,-1.94,-1.26,0.51,High,No,No,No,No,No,No,0,2,0.55,0,No,1.439,No,No,0.937,2.778,No,No,0.286,3.893
Levoglucosenone,699486,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1C2C=CC(=O)C(O1)O2,C6H6O3,126.11,0,3,0,28.62,35.53,1.29,-0.18,-0.13,-0.51,0.24,-0.51,High,No,No,No,No,No,No,0,3,0.55,0,No,0.886,No,No,2.127,2.183,No,No,-1.045,2.242
Linolenic Acid,5280934,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.43,13,2,1,88.99,37.3,3.36,6.46,5.66,4.38,5.09,-4.78,High,Yes,Yes,No,Yes,No,No,1,1,0.85,0,No,-0.84,No,No,1.441,3.115,Yes,Yes,0.722,-1.183
Linolenic acid ethyl ester,5367460,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CCC=CCC=CCC=CCCCCCCCC(=O)OCC,C20H34O2,306.48,15,2,0,98.12,26.3,4.82,6.66,6.14,4.84,5.82,-4.95,High,No,Yes,No,Yes,No,No,1,1,0.55,0,No,-0.051,No,No,1.625,2.953,No,Yes,1.571,-1.638
Luteolin,5280445,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.499,No,No,2.455,2.409,No,No,0.326,3.169
Menthol,1254,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1CCC(C(C1)O)C(C)C,C10H20O,156.27,1,1,1,49.23,20.23,2.55,3.4,2.44,2.45,2.58,-2.88,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.94,No,No,1.946,2.017,No,Yes,0.333,1.29
Neoxanthin,5282217,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC(=CC=CC=C(C)C=CC=C(C)C=C=C1C(CC(CC1(C)O)O)(C)C)C=CC=C(C)C=CC23C(CC(CC2(O3)C)O)(C)C,C40H56O4,600.87,9,4,3,186.66,73.22,6.71,8.74,8.72,5.3,7.89,-8.48,Low,No,No,No,No,No,Yes,2,4,0.17,0,No,-0.902,No,No,2.35,2.077,No,No,0.312,-2.306
Orientin,5281675,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O11,448.38,3,11,8,108.63,201.28,1.27,-0.15,-0.53,-2.51,-0.41,-2.7,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.567,No,No,2.572,4.386,No,No,0.285,6.125
Palmitic Acid,985,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,14,2,1,80.8,37.3,3.85,7.17,5.55,4.19,5.2,-5.02,High,Yes,Yes,No,Yes,No,No,1,0,0.85,0,No,-0.708,No,No,1.44,3.181,No,Yes,0.84,-1.083
Pantolactone,439368,Bermuda Grass,Cynodon dactylon L.,DOI: 10.9790/3013-06721731,CC1(COC(=O)C1O)C,C6H10O3,130.14,0,3,1,31.03,46.53,1.13,0.46,-0.07,0.0,0.46,-0.94,High,No,No,No,No,No,No,0,3,0.55,0,No,1.249,No,No,1.76,2.546,No,No,-0.524,2.254
