Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Acetone,180,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CC(=O)C,C3H6O,58.08,0,1,0,16.73,17.07,1.14,-0.05,0.6,0.15,0.4,-0.17,High,No,No,No,No,No,No,0,3,0.55,0,No,1.2,No,No,2.03,1.675,No,No,-1.093,2.539
Alpha-Tocopherol,14985,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.775,No,Yes,2.072,1.987,No,No,1.017,-3.324
Apigetrin,5280704,Mango ,Mangifera indica,PMID: 24962691,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O10,432.38,4,10,6,106.11,170.05,2.17,1.81,0.05,-1.61,0.55,-3.78,Low,No,No,No,No,No,No,1,0,0.55,0,No,0.515,No,No,2.595,4.359,No,No,0.285,5.507
Arachidic Acid,10467,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.817,No,No,1.381,3.483,Yes,Yes,0.487,-2.046
Ascorbic Acid,54670067,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Behenic Acid,8215,Mango ,Mangifera indica,PMID: 24295704,CCCCCCCCCCCCCCCCCCCCCC(=O)O,C22H44O2,340.58,20,2,1,109.64,37.3,5.26,10.37,7.89,5.58,7.4,-7.16,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.796,No,No,1.369,3.639,Yes,Yes,0.381,-2.528
beta-D-glucopyranose,64689,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,C(C1C(C(C(C(O1)O)O)O)O)O,C6H12O6,180.16,1,6,5,35.74,110.38,0.24,-3.24,-3.22,-2.75,-2.26,1.15,Low,No,No,No,No,No,No,0,2,0.55,0,No,1.896,No,No,1.214,3.897,No,No,0.285,5.083
beta-Glucogallin,124021,Mango ,Mangifera indica,PMID: 24962691,C1=C(C=C(C(=C1O)O)O)C(=O)OC2C(C(C(C(O2)CO)O)O)O,C13H16O10,332.26,4,10,7,71.44,177.14,1.14,-1.42,-2.24,-2.29,-1.41,-0.93,Low,No,No,No,No,No,No,1,1,0.55,1,No,0.22,No,No,2.414,4.092,No,No,0.285,6.856
Beta-Sitosterol,222284,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Campesterol,173183,Mango ,Mangifera indica,DOI: 10.1016/j.foodres.2013.09.017,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
