Compound Name,PubChem Id,Common Name,Scientific Name_x,References,Scientific Name_y,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Yadanziolide C,10409280,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C20H26O9,410.42,0,9,5,95.15,153.75,1.5,-2.42,-1.95,-1.2,-0.94,-0.86,Low,No,No,No,No,No,No,0,1,0.55,0,No,0.085,No,No,2.338,3.511,No,No,0.285,6.233
Yadanzioside A,72956,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H44O16,684.68,9,16,6,156.58,245.04,2.46,-0.04,-2.29,-2.15,-0.63,-3.47,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.923,No,Yes,3.166,3.997,No,No,0.285,11.509
Yadanzioside B,72952,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H44O17,700.68,9,17,7,157.74,265.27,2.42,-1.64,-3.17,-2.88,-1.38,-2.56,Low,No,No,No,No,No,No,3,4,0.17,0,No,-1.248,No,Yes,3.028,3.73,No,No,0.285,11.569
Yadanzioside C,44584515,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C34H46O17,726.72,9,17,7,166.92,265.27,1.63,-0.52,-2.62,-2.59,-1.1,-3.42,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.684,No,Yes,3.104,3.619,No,No,0.285,13.317
Yadanzioside E,460522,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C32H44O16,684.68,8,16,7,157.07,248.2,1.31,-1.44,-2.78,-2.15,-1.39,-2.65,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.943,No,Yes,2.915,3.467,No,No,0.285,10.709
Yadanzioside F,44584516,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C29H38O16,642.6,7,16,6,142.16,245.04,0.92,-1.31,-3.31,-2.72,-1.73,-2.54,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.2,No,Yes,2.925,3.853,No,No,0.285,12.049
Yadanzioside G,73354401,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C36H48O18,768.76,11,18,6,176.66,271.34,2.07,0.06,-2.05,-2.22,-0.6,-3.92,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.601,No,Yes,3.167,3.389,No,No,0.285,13.259
Yadanzioside I,10484290,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C29H38O16,642.6,7,16,6,142.16,245.04,1.58,-2.35,-3.17,-2.72,-1.69,-1.88,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.434,No,Yes,2.882,3.833,No,No,0.285,10.301
Yadanzioside K,14060346,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C36H48O18,768.76,11,18,6,176.66,271.34,3.15,-0.99,-1.9,-2.22,-0.48,-3.26,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.951,No,Yes,3.175,3.32,No,No,0.285,11.581
Yadanzioside L,10032831,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C34H46O17,726.72,9,17,7,166.92,265.27,1.31,-1.57,-2.47,-2.59,-1.26,-2.76,Low,No,No,No,No,No,No,3,4,0.17,0,No,-1.08,No,Yes,3.084,3.242,No,No,0.285,11.22
Yadanzioside M,21115200,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C34H40O16,704.67,8,16,6,162.06,245.04,2.2,0.35,-2.02,-1.75,-0.48,-3.99,Low,No,No,No,No,No,No,3,4,0.17,0,No,-1.044,No,Yes,3.38,4.535,No,No,0.285,9.726
Yadanzioside O,10417797,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C37H50O18,782.78,12,18,6,181.46,271.34,2.25,0.49,-1.66,-2.05,-0.27,-4.21,Low,No,No,No,No,No,No,3,4,0.17,0,No,-0.72,No,Yes,3.159,3.013,No,No,0.285,12.406
Yadanzioside P,73345262,Macassar kernels,Brucea javanica,PMID: 35370639,Brucea javanica,C34H46O16,710.72,9,16,6,165.72,245.04,2.35,-0.14,-1.59,-1.86,-0.3,-3.56,Low,No,No,No,No,No,No,3,4,0.17,0,No,-1.53,No,Yes,3.25,3.621,No,No,0.285,8.844
