Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Glucantime,64953,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CNCC(C(C(C(CO)O)O)O)O.O[Sb](=O)=O,C7H18NO8Sb,365.98,6,9,7,47.68,167.55,0.0,-3.96,-3.77,-5.03,-2.9,0.78,Low,No,No,No,No,No,No,1,1,0.55,0,No,1.788,No,No,1.88,4.505,No,No,0.285,5.758
Hispidulin,5281628,Raimuniya,Lantana aculeata L.,PMID: 30781602,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O,C16H12O6,300.26,2,6,3,80.48,100.13,2.27,2.99,2.59,0.22,2.12,-3.99,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.279,No,No,2.402,1.634,No,No,0.361,1.64
Humulene,5281520,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
icterogenin,6441270,Raimuniya,Lantana aculeata L.,PMID: 11449494,CC=C(C)C(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(=O)C5(C)CO)C)C)C)C(=O)O)(C)C,C35H52O6,568.78,5,6,2,161.7,100.9,3.49,7.11,6.9,4.8,5.73,-7.52,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.391,No,No,2.59,1.762,No,No,0.285,-1.113
Isoacteoside,6476333,Raimuniya,Lantana aculeata L.,PMID: 30781602,CC1C(C(C(C(O1)OC2C(C(OC(C2O)OCCC3=CC(=C(C=C3)O)O)COC(=O)C=CC4=CC(=C(C=C4)O)O)O)O)O)O,C29H36O15,624.59,11,15,9,148.42,245.29,2.33,-0.5,-1.12,-2.37,-0.56,-2.87,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.451,No,Yes,2.577,4.409,No,No,0.285,5.196
lamiridoside,49775357,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC1(C2C(C(C1O)O)C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)OC)O,C17H26O12,422.38,5,12,7,89.73,195.6,2.47,-3.59,-4.07,-3.28,-2.4,0.13,Low,No,No,No,No,No,No,2,1,0.11,0,No,1.085,No,No,2.24,3.521,No,No,0.285,8.784
Lantadene A,6436598,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC=C(C)C(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C(=O)O)(C)C,C35H52O5,552.78,4,5,1,160.54,80.67,3.81,7.78,7.93,5.61,6.42,-7.9,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.484,No,No,2.406,0.673,No,No,0.285,-1.702
Lantadene B,15560077,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC(=CC(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C(=O)O)(C)C)C,C35H52O5,552.78,4,5,1,160.54,80.67,4.06,8.03,7.93,5.61,6.52,-8.06,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.484,No,No,2.406,0.673,No,No,0.285,-1.702
Lantadene C,137381,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CCC(C)C(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C(=O)O)(C)C,C35H54O5,554.8,5,5,1,161.01,80.67,4.26,7.98,8.01,5.69,6.62,-7.98,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.46,No,No,2.398,0.665,No,No,0.285,-1.793
Lantadene D,15143722,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC(C)C(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C(=O)O)(C)C,C34H52O5,540.77,4,5,1,156.2,80.67,4.25,7.63,7.62,5.51,6.35,-7.74,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.502,No,No,2.38,0.638,No,No,0.285,-1.834
Lantanilic acid,101316804,Raimuniya,Lantana aculeata L.,PMID: 11449494,CC(=CC(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C46CCC(C5(C)C)(OC6)O)C)C)C(=O)O)(C)C)C,C35H52O6,568.78,4,6,2,160.51,93.06,4.49,7.35,7.06,5.29,6.05,-7.73,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.54,No,No,2.534,1.698,No,No,0.285,-0.878
Lantanolic acid,15560079,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C46CCC(C5(C)C)(OC6)O)C)C2C1)C)C(=O)O)C,C30H46O4,470.68,1,4,2,135.66,66.76,3.1,6.49,6.57,5.38,5.42,-6.78,High,No,No,No,No,No,No,1,3,0.85,0,No,0.38,No,No,2.443,1.862,Yes,No,0.285,-0.479
Lantic acid,185503,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1CCC2(CCC3(C(=CCC4C3(CCC5C46CCC(C5(C)C)(OC6)O)C)C2C1C)C)C(=O)O,C30H46O4,470.68,1,4,2,135.92,66.76,3.46,6.35,6.43,5.38,5.35,-6.69,High,No,No,No,No,No,No,1,3,0.85,0,No,0.377,No,No,2.441,1.831,Yes,No,0.285,-0.443
Linalool,6549,Raimuniya,Lantana aculeata L.,PMID: 30781602,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25,4,1,1,50.44,20.23,2.7,2.97,2.67,2.59,2.66,-2.4,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.774,No,No,1.704,2.024,No,Yes,0.515,1.277
Myrcene,31253,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC(=CCCC(=C)C=C)C,C10H16,136.23,4,0,0,48.76,0.0,2.89,4.17,3.48,3.56,3.43,-3.05,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.617,No,No,1.643,2.406,No,No,0.894,0.736
Nerol,643820,Raimuniya,Lantana aculeata L.,PMID: 30781602,CC(=CCCC(=CCO)C)C,C10H18O,154.25,4,1,1,50.4,20.23,2.75,3.56,2.67,2.59,2.78,-2.78,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.65,No,No,1.636,2.03,No,Yes,0.595,1.213
p-CYMENE,7463,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CC=C(C=C1)C(C)C,C10H14,134.22,1,0,0,45.99,0.0,2.51,4.1,3.12,4.47,3.5,-3.63,Low,Yes,No,No,No,Yes,No,1,1,0.55,0,No,0.903,No,No,1.827,2.328,No,Yes,0.462,0.869
Piperitone,6987,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CC(=O)C(CC1)C(C)C,C10H16O,152.23,1,1,0,47.8,17.07,2.38,2.85,2.57,2.2,2.52,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.843,No,No,1.777,2.068,No,Yes,0.439,1.23
Reduced lantadene A,6438155,Raimuniya,Lantana aculeata L.,PMID: 11449494,CC=C(C)C(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C(=O)O)(C)C,C35H54O5,554.8,4,5,2,161.5,83.83,4.8,8.1,7.72,5.69,6.54,-8.12,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.365,No,No,2.419,1.805,No,No,0.285,-1.591
Reduced Lantadene B,71699285,Raimuniya,Lantana aculeata L.,PMID: 11449493,CC(=CC(=O)OC1CC(CC2C1(CCC3(C2=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C)C(=O)O)(C)C)C,C35H54O5,554.8,4,5,2,161.5,83.83,4.75,8.35,7.72,5.69,6.58,-8.28,Low,No,No,No,No,No,No,2,4,0.56,0,No,0.365,No,No,2.419,1.805,No,No,0.285,-1.591
Sabinen,18818,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC(C)C12CCC(=C)C1C2,C10H16,136.23,1,0,0,45.22,0.0,2.65,3.09,3.0,4.29,3.25,-2.57,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.369,No,No,1.549,2.309,No,No,0.788,0.726
Squalene,638072,Raimuniya,Lantana aculeata L.,PMID: 30781602,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,C30H50,410.72,15,0,0,143.48,0.0,6.37,11.58,10.6,7.93,9.38,-8.69,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.393,No,Yes,1.848,0.946,No,No,0.464,-3.485
Terpinolene,11463,Raimuniya,Lantana aculeata L.,PMID: 30781602,CC1=CCC(=C(C)C)CC1,C10H16,136.23,0,0,0,47.12,0.0,2.71,4.47,3.45,3.27,3.4,-3.5,Low,Yes,No,No,Yes,No,No,0,1,0.55,0,No,0.752,No,No,1.859,2.438,No,Yes,0.52,1.215
Theviridoside,179396,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,COC(=O)C1=COC(C2C1(CC=C2CO)O)OC3C(C(C(C(O3)CO)O)O)O,C17H24O11,404.37,6,11,6,88.09,175.37,1.63,-2.87,-3.11,-2.62,-1.87,-0.14,Low,No,No,No,No,No,No,2,1,0.11,0,No,1.021,No,No,2.449,3.166,No,No,0.285,8.071
Tiglic acid,125468,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC=C(C)C(=O)O,C5H8O2,100.12,1,2,1,27.45,37.3,1.14,0.99,1.04,0.79,0.83,-1.02,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.345,No,No,1.77,2.585,No,No,-0.557,2.159
trans-Nerolidol,5284507,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC(=CCCC(=CCCC(C)(C=C)O)C)C,C15H26O,222.37,7,1,1,74.0,20.23,3.64,4.83,4.4,3.86,4.19,-3.8,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,0.253,No,No,1.58,1.187,No,Yes,2.284,0.158
trans-Piperitol,85568,Raimuniya,Lantana aculeata L.,DOI: 10.1080/10412905.2004.9698803,CC1=CC(C(CC1)C(C)C)O,C10H18O,154.25,1,1,1,48.76,20.23,2.57,2.13,2.36,2.3,2.28,-2.07,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.872,No,No,1.756,1.959,No,Yes,0.302,1.391
